樣本編號,面積(m2),土壤質地,土壤入滲率(mm/day),作物,期作
42,5820,壤質砂土(LS),15.9,九層塔,1
42,5820,壤質砂土(LS),15.9,九層塔,3
42,5820,壤質砂土(LS),15.9,九層塔,2
47,2231,壤質砂土(LS),15.9,九層塔,1
47,2231,壤質砂土(LS),15.9,九層塔,3
47,2231,壤質砂土(LS),15.9,九層塔,2
34,3474,粘質壤土(CL),6.85,小番茄,1
34,3474,粘質壤土(CL),6.85,小番茄,2
34,3474,粘質壤土(CL),6.85,小番茄,3
1,4947,粘質壤土(CL),6.85,水稻,1
2,5820,粘質壤土(CL),6.85,水稻,1
4,1164,砂質壤土(SL),11.5,水稻,1
5,1746,砂質壤土(SL),11.5,水稻,1
6,4268,壤質砂土(LS),15.9,水稻,1
7,2037,砂質壤土(SL),11.5,水稻,1
8,1261,壤質砂土(LS),15.9,水稻,1
9,3880,粘質壤土(CL),6.85,水稻,1
9,3880,粘質壤土(CL),6.85,水稻,2
10,4122,粘質壤土(CL),6.85,水稻,1
10,4122,粘質壤土(CL),6.85,水稻,2
11,2425,壤質砂土(LS),15.9,水稻,1
11,2425,壤質砂土(LS),15.9,水稻,2
12,3055,壤質砂土(LS),15.9,水稻,1
12,3055,壤質砂土(LS),15.9,水稻,2
13,3007,粘質壤土(CL),6.85,水稻,1
13,3007,粘質壤土(CL),6.85,水稻,2
14,4656,粘質壤土(CL),6.85,水稻,1
15,3686,粘質壤土(CL),6.85,水稻,1
15,3686,粘質壤土(CL),6.85,水稻,2
16,3201,粘質壤土(CL),6.85,水稻,1
16,3201,粘質壤土(CL),6.85,水稻,2
17,2134,壤質砂土(LS),15.9,水稻,1
17,2134,壤質砂土(LS),15.9,水稻,2
18,5820,壤土(L),8.8,水稻,1
19,1940,壤土(L),8.8,水稻,1
20,4850,壤土(L),8.8,水稻,1
21,1261,粘質壤土(CL),6.85,水稻,2
22,2328,粘質壤土(CL),6.85,水稻,1
23,4365,粘質壤土(CL),6.85,水稻,1
24,7759,粘質壤土(CL),6.85,水稻,1
24,7759,粘質壤土(CL),6.85,水稻,2
25,3492,壤質砂土(LS),15.9,水稻,1
26,2037,壤質砂土(LS),15.9,水稻,1
27,2134,壤質砂土(LS),15.9,水稻,1
28,1261,壤質砂土(LS),15.9,水稻,1
29,1940,壤質砂土(LS),15.9,水稻,1
29,1940,壤質砂土(LS),15.9,水稻,2
30,1940,壤質砂土(LS),15.9,水稻,1
30,1940,壤質砂土(LS),15.9,水稻,2
31,3686,壤質砂土(LS),15.9,水稻,1
32,679,粘質壤土(CL),6.85,水稻,2
33,1455,粘質壤土(CL),6.85,水稻,2
36,250,壤質砂土(LS),15.9,水稻,1
36,250,壤質砂土(LS),15.9,水稻,2
43,1455,壤質砂土(LS),15.9,水稻,1
45,3104,壤質砂土(LS),15.9,水稻,1
46,3104,壤質砂土(LS),15.9,水稻,2
49,2211,壤質砂土(LS),15.9,水稻,1
50,2231,壤質砂土(LS),15.9,水稻,2
52,3084,壤質砂土(LS),15.9,水稻,1
52,3084,壤質砂土(LS),15.9,水稻,2
54,1649,壤土(L),8.8,水稻,2
56,4400,壤質砂土(LS),15.9,水稻,2
57,6498,砂質壤土(SL),11.5,水稻,1
57,6498,砂質壤土(SL),11.5,水稻,2
58,1261,砂質壤土(SL),11.5,水稻,1
58,1261,砂質壤土(SL),11.5,水稻,2
59,1940,砂質壤土(SL),11.5,水稻,1
59,1940,砂質壤土(SL),11.5,水稻,2
60,3395,砂質壤土(SL),11.5,水稻,1
60,3395,砂質壤土(SL),11.5,水稻,2
61,1940,砂質壤土(SL),11.5,水稻,1
61,1940,砂質壤土(SL),11.5,水稻,2
62,7274,砂質壤土(SL),11.5,水稻,1
63,1746,砂質壤土(SL),11.5,水稻,1
63,1746,砂質壤土(SL),11.5,水稻,2
70,4850,壤質砂土(LS),15.9,水稻,1
70,4850,壤質砂土(LS),15.9,水稻,2
71,2910,壤質砂土(LS),15.9,水稻,2
72,2037,粘質壤土(CL),6.85,水稻,1
74,1455,壤質砂土(LS),15.9,水稻,2
76,2813,粘質壤土(CL),6.85,水稻,1
77,1552,粘質壤土(CL),6.85,水稻,1
79,3395,壤質砂土(LS),15.9,水稻,1
80,3007,壤質砂土(LS),15.9,水稻,1
81,2813,壤質砂土(LS),15.9,水稻,1
83,1940,壤質砂土(LS),15.9,水稻,1
83,1940,壤質砂土(LS),15.9,水稻,2
84,2134,壤質砂土(LS),15.9,水稻,1
85,2910,壤質砂土(LS),15.9,水稻,1
86,1843,壤土(L),8.8,水稻,1
87,3589,壤土(L),8.8,水稻,1
1,4947,粘質壤土(CL),6.85,玉米,2
1,4947,粘質壤土(CL),6.85,玉米,3
3,1261,粘質壤土(CL),6.85,玉米,2
19,1940,壤土(L),8.8,玉米,2
35,1455,粘質壤土(CL),6.85,玉米,2
38,2910,粘質壤土(CL),6.85,玉米,2
38,2910,粘質壤土(CL),6.85,玉米,3
39,3395,粘質壤土(CL),6.85,玉米,2
39,3395,粘質壤土(CL),6.85,玉米,3
53,1649,壤質砂土(LS),15.9,玉米,2
72,2037,粘質壤土(CL),6.85,玉米,3
75,2328,粘質壤土(CL),6.85,玉米,2
75,2328,粘質壤土(CL),6.85,玉米,3
76,2813,粘質壤土(CL),6.85,玉米,2
79,3395,壤質砂土(LS),15.9,玉米,3
81,2813,壤質砂土(LS),15.9,玉米,3
82,2619,砂質壤土(SL),11.5,玉米,2
79,3395,壤質砂土(LS),15.9,甘藷,2
2,5820,粘質壤土(CL),6.85,休耕,2
2,5820,粘質壤土(CL),6.85,休耕,3
4,1164,砂質壤土(SL),11.5,休耕,3
5,1746,砂質壤土(SL),11.5,休耕,3
6,4268,壤質砂土(LS),15.9,休耕,3
8,1261,壤質砂土(LS),15.9,休耕,3
9,3880,粘質壤土(CL),6.85,休耕,3
10,4122,粘質壤土(CL),6.85,休耕,3
11,2425,壤質砂土(LS),15.9,休耕,3
12,3055,壤質砂土(LS),15.9,休耕,3
13,3007,粘質壤土(CL),6.85,休耕,3
15,3686,粘質壤土(CL),6.85,休耕,3
16,3201,粘質壤土(CL),6.85,休耕,3
17,2134,壤質砂土(LS),15.9,休耕,3
18,5820,壤土(L),8.8,休耕,3
19,1940,壤土(L),8.8,休耕,3
20,4850,壤土(L),8.8,休耕,3
21,1261,粘質壤土(CL),6.85,休耕,3
23,4365,粘質壤土(CL),6.85,休耕,2
23,4365,粘質壤土(CL),6.85,休耕,3
24,7759,粘質壤土(CL),6.85,休耕,3
25,3492,壤質砂土(LS),15.9,休耕,3
26,2037,壤質砂土(LS),15.9,休耕,3
27,2134,壤質砂土(LS),15.9,休耕,3
28,1261,壤質砂土(LS),15.9,休耕,2
28,1261,壤質砂土(LS),15.9,休耕,3
29,1940,壤質砂土(LS),15.9,休耕,3
30,1940,壤質砂土(LS),15.9,休耕,3
31,3686,壤質砂土(LS),15.9,休耕,3
33,1455,粘質壤土(CL),6.85,休耕,3
35,1455,粘質壤土(CL),6.85,休耕,3
43,1455,壤質砂土(LS),15.9,休耕,3
44,2910,壤質砂土(LS),15.9,休耕,3
54,1649,壤土(L),8.8,休耕,3
55,1814,壤質砂土(LS),15.9,休耕,2
55,1814,壤質砂土(LS),15.9,休耕,3
56,4400,壤質砂土(LS),15.9,休耕,3
58,1261,砂質壤土(SL),11.5,休耕,3
61,1940,砂質壤土(SL),11.5,休耕,3
62,7274,砂質壤土(SL),11.5,休耕,2
62,7274,砂質壤土(SL),11.5,休耕,3
63,1746,砂質壤土(SL),11.5,休耕,3
70,4850,壤質砂土(LS),15.9,休耕,3
71,2910,壤質砂土(LS),15.9,休耕,3
73,2813,粘質壤土(CL),6.85,休耕,1
73,2813,粘質壤土(CL),6.85,休耕,3
76,2813,粘質壤土(CL),6.85,休耕,3
78,2425,粘質壤土(CL),6.85,休耕,1
80,3007,壤質砂土(LS),15.9,休耕,2
80,3007,壤質砂土(LS),15.9,休耕,3
83,1940,壤質砂土(LS),15.9,休耕,3
84,2134,壤質砂土(LS),15.9,休耕,3
85,2910,壤質砂土(LS),15.9,休耕,3
86,1843,壤土(L),8.8,休耕,2
86,1843,壤土(L),8.8,休耕,3
87,3589,壤土(L),8.8,休耕,3
64,5820,砂質壤土(SL),11.5,牧草,1
64,5820,砂質壤土(SL),11.5,牧草,2
64,5820,砂質壤土(SL),11.5,牧草,3
65,6789,砂質壤土(SL),11.5,牧草,1
65,6789,砂質壤土(SL),11.5,牧草,2
65,6789,砂質壤土(SL),11.5,牧草,3
66,3395,砂質壤土(SL),11.5,牧草,1
66,3395,砂質壤土(SL),11.5,牧草,2
66,3395,砂質壤土(SL),11.5,牧草,3
67,2910,砂質壤土(SL),11.5,牧草,1
67,2910,砂質壤土(SL),11.5,牧草,2
67,2910,砂質壤土(SL),11.5,牧草,3
68,9699,壤質砂土(LS),15.9,牧草,1
68,9699,壤質砂土(LS),15.9,牧草,2
68,9699,壤質砂土(LS),15.9,牧草,3
69,2425,砂質壤土(SL),11.5,牧草,1
69,2425,砂質壤土(SL),11.5,牧草,2
69,2425,砂質壤土(SL),11.5,牧草,3
3,1261,粘質壤土(CL),6.85,花生,1
4,1164,砂質壤土(SL),11.5,花生,2
5,1746,砂質壤土(SL),11.5,花生,2
6,4268,壤質砂土(LS),15.9,花生,2
7,2037,砂質壤土(SL),11.5,花生,2
8,1261,壤質砂土(LS),15.9,花生,2
18,5820,壤土(L),8.8,花生,2
20,4850,壤土(L),8.8,花生,2
21,1261,粘質壤土(CL),6.85,花生,1
25,3492,壤質砂土(LS),15.9,花生,2
26,2037,壤質砂土(LS),15.9,花生,2
27,2134,壤質砂土(LS),15.9,花生,2
31,3686,壤質砂土(LS),15.9,花生,2
32,679,粘質壤土(CL),6.85,花生,1
32,679,粘質壤土(CL),6.85,花生,3
33,1455,粘質壤土(CL),6.85,花生,1
35,1455,粘質壤土(CL),6.85,花生,1
38,2910,粘質壤土(CL),6.85,花生,1
39,3395,粘質壤土(CL),6.85,花生,1
43,1455,壤質砂土(LS),15.9,花生,2
46,3104,壤質砂土(LS),15.9,花生,1
50,2231,壤質砂土(LS),15.9,花生,1
53,1649,壤質砂土(LS),15.9,花生,1
54,1649,壤土(L),8.8,花生,1
56,4400,壤質砂土(LS),15.9,花生,1
72,2037,粘質壤土(CL),6.85,花生,2
73,2813,粘質壤土(CL),6.85,花生,2
74,1455,壤質砂土(LS),15.9,花生,1
74,1455,壤質砂土(LS),15.9,花生,3
77,1552,粘質壤土(CL),6.85,花生,2
81,2813,壤質砂土(LS),15.9,花生,2
82,2619,砂質壤土(SL),11.5,花生,1
84,2134,壤質砂土(LS),15.9,花生,2
85,2910,壤質砂土(LS),15.9,花生,2
87,3589,壤土(L),8.8,花生,2
3,1261,粘質壤土(CL),6.85,南瓜,3
40,2231,壤質砂土(LS),15.9,香蕉,1
40,2231,壤質砂土(LS),15.9,香蕉,2
40,2231,壤質砂土(LS),15.9,香蕉,3
41,1649,壤質砂土(LS),15.9,香蕉,1
41,1649,壤質砂土(LS),15.9,香蕉,2
41,1649,壤質砂土(LS),15.9,香蕉,3
57,6498,砂質壤土(SL),11.5,馬鈴薯,3
59,1940,砂質壤土(SL),11.5,馬鈴薯,3
60,3395,砂質壤土(SL),11.5,馬鈴薯,3
14,4656,粘質壤土(CL),6.85,蒜頭,2
14,4656,粘質壤土(CL),6.85,蒜頭,3
22,2328,粘質壤土(CL),6.85,蒜頭,2
22,2328,粘質壤土(CL),6.85,蒜頭,3
36,250,壤質砂土(LS),15.9,蒜頭,3
45,3104,壤質砂土(LS),15.9,蒜頭,2
45,3104,壤質砂土(LS),15.9,蒜頭,3
46,3104,壤質砂土(LS),15.9,蒜頭,3
49,2211,壤質砂土(LS),15.9,蒜頭,2
49,2211,壤質砂土(LS),15.9,蒜頭,3
50,2231,壤質砂土(LS),15.9,蒜頭,3
52,3084,壤質砂土(LS),15.9,蒜頭,3
53,1649,壤質砂土(LS),15.9,蒜頭,3
71,2910,壤質砂土(LS),15.9,蒜頭,1
77,1552,粘質壤土(CL),6.85,蒜頭,3
78,2425,粘質壤土(CL),6.85,蒜頭,2
78,2425,粘質壤土(CL),6.85,蒜頭,3
44,2910,壤質砂土(LS),15.9,蔥,1
44,2910,壤質砂土(LS),15.9,蔥,2
55,1814,壤質砂土(LS),15.9,蔥,1
7,2037,砂質壤土(SL),11.5,蔬菜,3
37,1261,粘質壤土(CL),6.85,蔬菜,1
37,1261,粘質壤土(CL),6.85,蔬菜,2
37,1261,粘質壤土(CL),6.85,蔬菜,3
48,2716,壤質砂土(LS),15.9,蔬菜,1
48,2716,壤質砂土(LS),15.9,蔬菜,2
48,2716,壤質砂土(LS),15.9,蔬菜,3
51,2231,壤質砂土(LS),15.9,蔬菜,2
51,2231,壤質砂土(LS),15.9,蔬菜,3
51,2231,壤質砂土(LS),15.9,蔬菜,1
75,2328,粘質壤土(CL),6.85,蔬菜,1
82,2619,砂質壤土(SL),11.5,蔬菜,3
